Function Number,Run Number,Error,Time
8,23,20.926302274965906,26.97290802001953
8,24,20.983012212054632,28.70927596092224
8,25,20.94148565095759,26.787609100341797
8,26,20.966704948007305,30.936283349990845
8,27,20.942649086947313,31.875404119491577
8,28,20.83229177060764,27.112626791000366
8,29,20.98772882051196,29.643985271453857
8,30,20.905773346574847,27.3423171043396
9,1,27.954035933438945,149.41188192367554
9,2,26.160605736105367,508.7638235092163
9,3,31.385259662646604,146.15001463890076
9,4,26.26557622898406,148.1245288848877
9,5,27.803817879148482,157.29130148887634
9,6,27.873845611634692,155.8893575668335
9,7,29.251607887870136,146.40637755393982
9,8,28.33062207073749,143.44168639183044
9,9,26.635661738272688,140.9659447669983
9,10,27.651377744808542,142.03375363349915
9,11,29.731264756786345,142.69729471206665
9,12,25.610456816716578,142.01143622398376
9,13,28.222507837100693,143.5713987350464
9,14,27.246957426802055,139.83309936523438
9,15,29.729445133458626,139.7619502544403
9,16,27.961177180128516,144.57627534866333
9,17,27.805968046156977,142.03256845474243
9,18,25.13778312077136,144.17370510101318
9,19,22.781054451675118,141.01985573768616
9,20,29.910029946457712,142.95368027687073
9,21,26.16825104026384,140.36770868301392
9,22,25.35947795509378,143.7594654560089
9,23,26.373637912473896,139.35730481147766
9,24,27.99087222659466,140.03063035011292
9,25,26.019886552046046,139.46084880828857
9,26,22.729651963636456,144.73833560943604
9,27,31.12134602533331,138.55604338645935
9,28,26.27110121487476,140.0696792602539
9,29,31.30971152265147,139.37935161590576
9,30,29.614228177268046,136.05020666122437
10,1,0.0813158480662537,13.575686693191528
10,2,0.10850831742180844,13.566348314285278
10,3,0.3427309077171117,13.821918964385986
10,4,0.08382509223787338,13.568387985229492
10,5,0.08876480494109273,14.17703127861023
10,6,0.02838468200468469,13.631930351257324
10,7,0.08622235254489397,13.544761419296265
10,8,0.12562193079645567,13.589966535568237
10,9,0.04436640481856102,14.32630443572998
10,10,0.09062298648149181,14.481146097183228
10,11,0.04187074680277192,13.66757607460022
10,12,0.08876480494149064,14.125594854354858
10,13,0.10092106979874416,15.5605947971344
