Function Number,Run Number,Error,Time
11,24,65.66759809918625,78.49457287788391
11,25,73.62663099831354,81.27268600463867
11,26,43.77814808847961,80.9986686706543
11,27,78.60148257232629,78.26249504089355
11,28,90.5408338478718,80.94980263710022
11,29,63.677278806719016,81.08746266365051
11,30,53.72765773509286,81.82993292808533
12,1,73.68140058940298,93.0159661769867
12,2,91.44866594758815,91.00298833847046
12,3,49.81863659541736,94.32955646514893
12,4,96.54643742328949,87.7814450263977
12,5,53.777199085367926,92.49310350418091
12,6,97.5202917473141,92.05643725395203
12,7,63.677213018608654,89.2058002948761
12,8,69.6470231656674,91.37445735931396
12,9,88.6655429080298,88.45349860191345
12,10,53.727717132869685,92.86935305595398
12,11,80.095768227017,90.64028763771057
12,12,107.54277969076432,91.23273611068726
12,13,118.81208924108137,91.90407872200012
12,14,80.18804100864907,91.90284872055054
12,15,109.90601135023732,92.40057134628296
12,16,84.84678696062542,90.3804042339325
12,17,76.61171183058258,89.87617802619934
12,18,75.68986083081575,90.94665598869324
12,19,88.55283799913843,90.77711153030396
12,20,83.57632855519685,89.91762232780457
12,21,83.57635901164284,90.49282932281494
12,22,95.5218110820702,89.88959646224976
12,23,75.62576892803139,90.81867337226868
12,24,69.16540078054825,92.34521102905273
12,25,82.13485813152116,95.37242603302002
12,26,89.67038769255882,94.53506255149841
12,27,108.4296795437026,90.657883644104
12,28,81.58962909239344,92.03735303878784
12,29,101.48701720220907,117.68984603881836
12,30,106.48179145759912,88.45493006706238
13,1,129.85629029204458,101.866774559021
13,2,128.89274556361968,101.07537126541138
13,3,152.86346020523408,102.87299132347107
13,4,134.9645841411686,106.91863822937012
13,5,164.49766873367867,107.59371304512024
13,6,141.7640023348424,104.7268853187561
13,7,157.0548476791772,104.85574889183044
13,8,100.45302112062735,114.67542958259583
13,9,113.35362749880727,106.5607316493988
13,10,124.45204357081037,104.31193566322327
13,11,182.70516903457673,104.79711604118347
13,12,133.80902186192083,107.5790228843689
13,13,131.60033762129854,106.597825050354
13,14,114.44525408239183,110.58642578125
13,15,163.06329999777287,111.27541422843933
13,16,136.91857232608845,102.75598669052124
13,17,72.98654627216806,105.31626772880554
13,18,135.27109168118707,104.43826198577881
13,19,122.97113243272537,104.6823947429657
13,20,86.94068409277156,129.47151565551758
13,21,148.87410571141268,105.0162787437439
13,22,119.76013065168932,108.99225187301636
13,23,147.4356935933149,105.31019377708435
13,24,112.64787979370449,114.94705295562744
13,25,141.28301770821298,107.74580407142639
13,26,144.70050074465357,113.40642929077148
13,27,152.67919895568937,103.68406224250793
13,28,154.15644062278253,103.02309560775757
13,29,148.38806839491843,106.26649165153503
13,30,164.02034088735047,105.20652651786804
14,1,2389.453348953113,97.83007860183716
14,2,2123.077718308281,99.7191379070282
14,3,2318.3649091280495,99.49951386451721
14,4,2770.525745766534,106.87418818473816
14,5,2823.4172750669914,104.3320620059967
14,6,2738.543162266742,96.4972710609436
14,7,2622.1255402573133,102.91317248344421
14,8,2052.162628291586,107.52515959739685
14,9,2446.8086477721063,100.33478546142578
14,10,2524.9233994601746,98.24444079399109
14,11,2830.371569454619,101.05201840400696
14,12,1967.7619419477196,98.58569478988647
14,13,3096.120633867169,99.17880082130432
14,14,3146.7869311473114,115.49375176429749
14,15,2437.274668018139,97.09323072433472
14,16,2633.75681135617,97.82429885864258
14,17,3211.02720041286,104.91413521766663
14,18,2824.237989938707,108.28545832633972
14,19,2939.767304402343,99.62732553482056
14,20,2500.7368973288667,97.89446997642517
14,21,2400.2921256115515,102.3310751914978
14,22,2579.4820411484743,108.18296957015991
14,23,2745.8129789415707,104.62066578865051
14,24,2580.030379009764,95.54411506652832
14,25,3068.6681110202535,100.69043827056885
14,26,3020.1627029043775,100.10377645492554
14,27,2150.3474610949834,98.36461853981018
14,28,2553.502145603057,98.41498708724976
14,29,2940.637992013635,99.15807390213013
14,30,3042.1623150122323,100.02577304840088
15,1,3049.328270265978,104.28196454048157
15,2,4153.388016284667,98.90459203720093
15,3,3627.2069953158843,101.30259680747986
15,4,3610.763207255426,104.03944778442383
15,5,3450.0359340947634,102.36635255813599
15,6,3795.584566673422,98.71353793144226
15,7,4715.973842214066,99.61606979370117
15,8,4533.100689433777,98.34680676460266
15,9,3961.2075915537516,101.7733461856842
15,10,4113.526259938861,106.8176498413086
15,11,3889.1696780942875,148.3885200023651
15,12,4353.1595855628,170.23111772537231
15,13,2981.956842492884,99.4460461139679
15,14,4357.036668705276,105.2419900894165
15,15,3780.687596557864,101.71812009811401
15,16,2875.7817584668064,103.57885551452637
15,17,4760.966270027374,99.68598580360413
15,18,4180.283725301697,97.8768982887268
15,19,3494.4931475859303,146.645325422287
15,20,4851.935138134439,179.69013714790344
15,21,3907.2547947239364,102.92878556251526
15,22,4104.720636999507,100.16020607948303
15,23,3574.248844457312,348.3171775341034
15,24,3470.2996892391893,104.9188768863678
15,25,5199.587210568468,107.82277512550354
15,26,4102.513782918457,131.29829382896423
15,27,3454.589704811635,102.45132970809937
15,28,4211.074831781007,107.11466002464294
15,29,4401.652806921876,102.92058634757996
15,30,3129.200138523822,104.02454924583435
16,1,2.1184118813263524,367.59793496131897
16,2,2.1503416650753024,373.8529243469238
16,3,1.9349468969207066,376.119015455246
16,4,1.4204075843547344,376.1323640346527
