Step #118 Reward:-58.70245166560102 Current Epsilon: 0.6305604014689516
Step #119 Reward:-66.80376702576177 Current Epsilon: 0.6281078415527731
Step #120 Reward:-87.5561426134883 Current Epsilon: 0.6256649745691893
Step #121 Reward:-63.677254012370554 Current Epsilon: 0.6232317622100876
Step #122 Reward:-71.636914913244 Current Epsilon: 0.6208081663187547
Step #123 Reward:-34.83243880146313 Current Epsilon: 0.6183941488892799
Step #124 Reward:-57.70767145926095 Current Epsilon: 0.6159896720659581
Step #125 Reward:-77.30996924767038 Current Epsilon: 0.613594698142696
Step #126 Reward:-69.64698919291217 Current Epsilon: 0.6112091895624217
Step #127 Reward:-51.738414499908686 Current Epsilon: 0.6088331089164949
Step #128 Reward:-73.50687933852896 Current Epsilon: 0.6064664189441205
Step #129 Reward:-74.62176642546174 Current Epsilon: 0.6041090825317647
Step #130 Reward:-88.73359680175781 Current Epsilon: 0.6017610627125723
Step #131 Reward:-43.78432731553647 Current Epsilon: 0.5994223226657879
Step #132 Reward:-75.68231386411935 Current Epsilon: 0.5970928257161775
Step #133 Reward:-54.71243654191494 Current Epsilon: 0.5947725353334538
Step #134 Reward:-84.63869895302139 Current Epsilon: 0.5924614151317039
Step #135 Reward:-59.87019443511963 Current Epsilon: 0.5901594288688178
Step #136 Reward:-69.0037404820323 Current Epsilon: 0.5878665404459202
Step #137 Reward:-57.72048236464616 Current Epsilon: 0.5855827139068057
Step #138 Reward:-63.14783763885498 Current Epsilon: 0.5833079134373726
Step #139 Reward:-53.149566417902605 Current Epsilon: 0.5810421033650637
Step #140 Reward:-81.17697063408559 Current Epsilon: 0.578785248158305
Step #141 Reward:-63.29659271645505 Current Epsilon: 0.5765373124259499
Step #142 Reward:-66.66214984661121 Current Epsilon: 0.5742982609167231
Step #143 Reward:-53.727697648108006 Current Epsilon: 0.5720680585186688
Step #144 Reward:-69.64696964621544 Current Epsilon: 0.5698466702585993
Step #145 Reward:-46.7634859085083 Current Epsilon: 0.5676340613015468
Step #146 Reward:-64.0691083479378 Current Epsilon: 0.5654301969502175
Step #147 Reward:-68.65199662642488 Current Epsilon: 0.5632350426444469
Step #148 Reward:-45.768042764591485 Current Epsilon: 0.5610485639606584
Step #149 Reward:-55.57223738543689 Current Epsilon: 0.558870726611323
Step #150 Reward:-71.21584415435791 Current Epsilon: 0.5567014964444219
Step #151 Reward:-78.6016167551279 Current Epsilon: 0.5545408394429107
Step #152 Reward:-62.863160999724016 Current Epsilon: 0.5523887217241865
Step #153 Reward:-52.39957332611084 Current Epsilon: 0.5502451095395561
Step #154 Reward:-91.54838418960571 Current Epsilon: 0.5481099692737064
Step #155 Reward:-50.7428490896998 Current Epsilon: 0.5459832674441781
Step #156 Reward:-95.51582440859951 Current Epsilon: 0.5438649707008405
Step #157 Reward:-31.83864739650801 Current Epsilon: 0.5417550458253677
Step #158 Reward:-55.436262145638466 Current Epsilon: 0.5396534597307185
Step #159 Reward:-75.25261688232422 Current Epsilon: 0.5375601794606177
Step #160 Reward:-45.64677469640023 Current Epsilon: 0.5354751721890382
Step #161 Reward:-68.652008710791 Current Epsilon: 0.5333984052196873
Step #162 Reward:-47.75862216949463 Current Epsilon: 0.5313298459854935
Step #163 Reward:-62.296796187758446 Current Epsilon: 0.5292694620480961
Step #164 Reward:-55.71757206013507 Current Epsilon: 0.5272172210973358
Step #165 Reward:-62.68226186454319 Current Epsilon: 0.5251730909507493
Step #166 Reward:-26.064601519610733 Current Epsilon: 0.523137039553063
Step #167 Reward:-50.74280362392102 Current Epsilon: 0.5211090349756917
Step #168 Reward:-52.733907779689616 Current Epsilon: 0.5190890454162375
Step #169 Reward:-47.773800207301974 Current Epsilon: 0.5170770391979903
Step #170 Reward:-76.1160683631897 Current Epsilon: 0.5150729847694324
Step #171 Reward:-64.54934999773047 Current Epsilon: 0.5130768507037429
Step #172 Reward:-77.60664467074741 Current Epsilon: 0.5110886056983047
Step #173 Reward:-80.59942857234472 Current Epsilon: 0.5091082185742143
Step #174 Reward:-53.47613961137992 Current Epsilon: 0.5071356582757924
Step #175 Reward:-48.752967874035676 Current Epsilon: 0.5051708938700971
Step #176 Reward:-72.64441347122192 Current Epsilon: 0.5032138945464383
Step #177 Reward:-64.90241520061818 Current Epsilon: 0.5012646296158957
Step #178 Reward:-42.86131643782517 Current Epsilon: 0.49932306851083613
Step #179 Reward:-54.722658739894456 Current Epsilon: 0.4973891807844353
Step #180 Reward:-76.61253040804877 Current Epsilon: 0.4954629361101998
Step #181 Reward:-50.39245211780559 Current Epsilon: 0.4935443042814917
Step #182 Reward:-50.74638934746616 Current Epsilon: 0.4916332552110547
Step #183 Reward:-62.31965950897592 Current Epsilon: 0.48972975893054266
Step #184 Reward:-42.78317751505142 Current Epsilon: 0.4878337855900492
Step #185 Reward:-58.375140607357025 Current Epsilon: 0.48594530545764
Step #186 Reward:-40.79326888578623 Current Epsilon: 0.4840642889188862
Step #187 Reward:-77.60681289434433 Current Epsilon: 0.48219070647640044
