Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-01-24 08:03:45.463650: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-01-24 08:03:50.907342: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30977 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:af:00.0, compute capability: 7.0
2024-01-24 08:03:55.868415: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, train=True, steps=20000)
>> Training mode. Number of Steps to Train: 20000
num_actions: 5
Episode#412 Reward:-15.792774200439453
Episode#413 Reward:-13.865972571074963
Episode#414 Reward:-16.61669921875
Episode#415 Reward:-13.785972096025944
Episode#416 Reward:-27.834892839193344
Episode#417 Reward:-14.27280044555664
Episode#418 Reward:-26.40742769453209
Episode#419 Reward:-16.368509438969227
step = 420: loss = [0.0018199207, 0.0025939636, 0.0034500053, 0.0026349882, 0.00465593, 0.0039472794, 0.0027248305, 0.0019488211, 0.0025942703, 0.0022568179]
Episode#420 Reward:-0.8645675033330917
Episode#421 Reward:-17.627736541209742
Episode#422 Reward:-11.618079960346222
Episode#423 Reward:-14.289608776569366
Episode#424 Reward:-13.995237827301025
Episode#425 Reward:-13.899627562612295
Episode#426 Reward:-0.0345026608556509
Episode#427 Reward:-16.38304713368416
Episode#428 Reward:-16.368510335116525
Episode#429 Reward:-22.496835708618164
Episode#430 Reward:-16.36855444451794
Episode#431 Reward:-17.447917938232422
Episode#432 Reward:-16.368519353389274
Episode#433 Reward:-15.829560475125618
Episode#434 Reward:-13.752209762344137
Episode#435 Reward:-9.62603952176869
Episode#436 Reward:-15.440518200397491
Episode#437 Reward:-26.414007164537907
Episode#438 Reward:-11.820247828960419
Episode#439 Reward:-13.95835608971538
step = 440: loss = [0.0053147636, 0.0030224249, 0.0040638326, 0.0025494092, 0.0019448029, 0.0032934688, 0.0024421655, 0.0031830037, 0.003257796, 0.0041383603]
Episode#440 Reward:-15.783127784729004
Episode#441 Reward:-26.54268527030945
Episode#442 Reward:-17.62773348763585
Episode#443 Reward:-9.639229394495487
Episode#444 Reward:-13.892938375473022
Episode#445 Reward:-11.653764486312866
Episode#446 Reward:-26.501996994018555
Episode#447 Reward:-16.649553183815442
Episode#448 Reward:-14.531367301940918
Episode#449 Reward:-14.104605287313461
step = 450: Average Return = -20.74726299456185
Episode#450 Reward:-16.380262777209282
Episode#451 Reward:-16.74545241087162
Episode#452 Reward:-74.1596031655863
Episode#453 Reward:-13.900725722312927
Episode#454 Reward:-16.446625232696533
Episode#455 Reward:-18.999120712280273
Episode#456 Reward:-16.62298583984375
Episode#457 Reward:-16.2436580657959
Episode#458 Reward:-18.78311061859131
Episode#459 Reward:-26.70976424217224
step = 460: loss = [0.003569288, 0.0021349993, 0.0023589574, 0.0021241033, 0.0047453623, 0.002644021, 0.0030441238, 0.0025793253, 0.0026584174, 0.0074607693]
Episode#460 Reward:-13.822914034128189
Episode#461 Reward:-17.62780373170972
Episode#462 Reward:-17.282042741775513
Episode#463 Reward:-43.7045841217041
Episode#464 Reward:-15.228931278921664
Episode#465 Reward:-27.979037284851074
Episode#466 Reward:-27.828841218204616
Episode#467 Reward:-26.407445660013764
Episode#468 Reward:-29.245197296142578
Episode#469 Reward:-27.835437059402466
Episode#470 Reward:-14.452039271593094
Episode#471 Reward:-75.01529372856021
Episode#472 Reward:-15.773563823662698
Episode#473 Reward:-16.36999535560608
Episode#474 Reward:-15.334245753474534
Episode#475 Reward:-14.94599021493923
Episode#476 Reward:-26.40741906572316
Episode#477 Reward:-12.72281038761139
Episode#478 Reward:-13.99112494289875
Episode#479 Reward:-14.569798678159714
step = 480: loss = [0.004024589, 0.0039449055, 0.0029001418, 0.006069325, 0.0039846534, 0.0022956377, 0.0056143054, 0.0023956476, 0.0019541034, 0.0018124406]
Episode#480 Reward:-17.99192237854004
Episode#481 Reward:-17.627718374760207
Episode#482 Reward:-16.372184723615646
Episode#483 Reward:-16.368512431607087
Episode#484 Reward:-16.368509265281318
Episode#485 Reward:-16.3687412829604
Episode#486 Reward:-15.059175036847591
Episode#487 Reward:-9.927959680557251
Episode#488 Reward:-16.36867130023893
Episode#489 Reward:-6.970143757760525
Episode#490 Reward:-26.407415253775525
Episode#491 Reward:-17.728899478912354
Episode#492 Reward:-15.65963363647461
Episode#493 Reward:-17.692760944366455
Episode#494 Reward:-27.138172934308386
Episode#495 Reward:-14.39198337495327
Episode#496 Reward:-13.96086597442627
Episode#497 Reward:-13.337117433547974
Episode#498 Reward:-13.713816402480006
Episode#499 Reward:-28.98605278134346
step = 500: loss = [0.003813278, 0.002202503, 0.005522346, 0.005182226, 0.003744395, 0.003685781, 0.0027234415, 0.0028881365, 0.004866432, 0.0038871057]
step = 500: Average Return = -23.562534459400922
Episode#500 Reward:-14.024880669793674
Episode#501 Reward:-26.441450897604227
Episode#502 Reward:-17.937167406082153
Episode#503 Reward:-16.374980834131293
Episode#504 Reward:-16.403284072875977
Episode#505 Reward:-16.445661544799805
Episode#506 Reward:-18.379502058029175
Episode#507 Reward:-13.772147603332996
Episode#508 Reward:-0.3951400890946388
Episode#509 Reward:-14.118160367012024
Episode#510 Reward:-18.298233907669783
Episode#511 Reward:-26.407418970754748
Episode#512 Reward:-16.74545392394066
Episode#513 Reward:-26.906551644206047
Episode#514 Reward:-17.631614483892918
Episode#515 Reward:-17.78435480594635
Episode#516 Reward:-16.524581909179688
Episode#517 Reward:-27.971760138869286
Episode#518 Reward:-16.482810974121094
Episode#519 Reward:-9.969970703125
step = 520: loss = [0.002724096, 0.0031567535, 0.005544607, 0.0043323264, 0.004066202, 0.0038603977, 0.0032127863, 0.0036194013, 0.004402457, 0.0038970744]
Episode#520 Reward:-16.381332588382065
Episode#521 Reward:-18.503397822380066
Episode#522 Reward:-15.621710896492004
Episode#523 Reward:-24.418213844299316
Episode#524 Reward:-26.40746103064157
Episode#525 Reward:-26.407411983385487
Episode#526 Reward:-9.623926650732756
Episode#527 Reward:-26.45423698425293
