Warning: Gym version v0.24.0 has a number of critical issues with `gym.make` such that the `reset` and `step` functions are called before returning the environment. It is recommend to downgrading to v0.23.1 or upgrading to v0.25.1
2024-03-18 05:31:52.362440: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-03-18 05:31:55.375589: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1525] Created device /job:localhost/replica:0/task:0/device:GPU:0 with 30989 MB memory:  -> device: 0, name: Tesla V100-SXM2-32GB, pci bus id: 0000:3b:00.0, compute capability: 7.0
2024-03-18 05:31:59.874948: I tensorflow/stream_executor/cuda/cuda_dnn.cc:368] Loaded cuDNN version 8200
==== Experiment:  DRQN_PSO_F6
==== Args used:
Namespace(network_type='DRQN', algorithm='PSO', func_num=6, num_actions=3, num_episodes=20, num_swarm_obs_intervals=10, swarm_obs_interval_length=30, policy='ExponentialDecayGreedyEpsilon', train=True, steps=20000)
==== Remaining (Unknown) Args:
[]
>> Training mode. Number of Steps to Train: 20000
>> Evaluation Interval: 500
>> Logging Interval: 200
>> Number of Episodes per Iteration: 20
=== Function Evaluation Budget: 30 dimensions x 10 000/dim = 300000 Function Evaluations
=== Observations Per Episode: 10 Number of Swarm Observation Intervals per Episode x 30 Number of Observations in each Interval  = 300  Observations per Episode
=== Function Evaluation Allocation: 50 Swarm Size (# Particles) x 20 Episodes x 300 Observations per Episode  = 300000 Function Evaluations

num_actions: 3
Action #1 Description: Do nothing
Action #2 Description: Decrease Threshold for Replacement
Action #3 Description: Increase Threshold for Replacement
Step #128 Reward:-28.303693771362305 Current Epsilon: 0.6064664189441205
Step #129 Reward:-138.71870803833008 Current Epsilon: 0.6041090825317647
Step #130 Reward:-15.015255123376846 Current Epsilon: 0.6017610627125723
Step #131 Reward:-75.69455528259277 Current Epsilon: 0.5994223226657879
Step #132 Reward:-15.92551639676094 Current Epsilon: 0.5970928257161775
Step #133 Reward:-14.070920262027357 Current Epsilon: 0.5947725353334538
Step #134 Reward:-78.73047987371683 Current Epsilon: 0.5924614151317039
Step #135 Reward:-185.73599195480347 Current Epsilon: 0.5901594288688178
Step #136 Reward:-134.60559940338135 Current Epsilon: 0.5878665404459202
Step #137 Reward:-19.54628711938858 Current Epsilon: 0.5855827139068057
Step #138 Reward:-14.865156412124634 Current Epsilon: 0.5833079134373726
Step #139 Reward:-156.0269775390625 Current Epsilon: 0.5810421033650637
Step #140 Reward:-53.65672302246094 Current Epsilon: 0.578785248158305
Step #141 Reward:-106.37562561035156 Current Epsilon: 0.5765373124259499
Step #142 Reward:-26.407471267186338 Current Epsilon: 0.5742982609167231
Step #143 Reward:-6.842870831489563 Current Epsilon: 0.5720680585186688
Step #144 Reward:-27.879399299621582 Current Epsilon: 0.5698466702585993
Step #145 Reward:-96.27189207077026 Current Epsilon: 0.5676340613015468
Step #146 Reward:-183.22287368774414 Current Epsilon: 0.5654301969502175
Step #147 Reward:-306.23863220214844 Current Epsilon: 0.5632350426444469
Step #148 Reward:-343.61226016283035 Current Epsilon: 0.5610485639606584
Step #149 Reward:-70.96641837060452 Current Epsilon: 0.558870726611323
Step #150 Reward:-26.54148320760578 Current Epsilon: 0.5567014964444219
Step #151 Reward:-13.9528748691082 Current Epsilon: 0.5545408394429107
Step #152 Reward:-13.892581701278687 Current Epsilon: 0.5523887217241865
Step #153 Reward:-15.103641629219055 Current Epsilon: 0.5502451095395561
Step #154 Reward:-93.76063746675254 Current Epsilon: 0.5481099692737064
Step #155 Reward:-27.80319333076477 Current Epsilon: 0.5459832674441781
Step #156 Reward:-26.407735718763433 Current Epsilon: 0.5438649707008405
Step #157 Reward:-14.380144402384758 Current Epsilon: 0.5417550458253677
Step #158 Reward:-14.287578299175948 Current Epsilon: 0.5396534597307185
Step #159 Reward:-75.53460568189621 Current Epsilon: 0.5375601794606177
Step #160 Reward:-26.40741739802536 Current Epsilon: 0.5354751721890382
Step #161 Reward:-15.796897981315851 Current Epsilon: 0.5333984052196873
Step #162 Reward:-76.77711394429207 Current Epsilon: 0.5313298459854935
Step #163 Reward:-35.215171813964844 Current Epsilon: 0.5292694620480961
Step #164 Reward:-217.0022382736206 Current Epsilon: 0.5272172210973358
Step #165 Reward:-380.4394750595093 Current Epsilon: 0.5251730909507493
Step #166 Reward:-274.7653102874756 Current Epsilon: 0.523137039553063
Step #167 Reward:-79.90973109006882 Current Epsilon: 0.5211090349756917
Step #168 Reward:-26.40741818236029 Current Epsilon: 0.5190890454162375
Step #169 Reward:-72.9159795967862 Current Epsilon: 0.5170770391979903
Step #170 Reward:-13.46945521235466 Current Epsilon: 0.5150729847694324
Step #171 Reward:-16.394581139087677 Current Epsilon: 0.5130768507037429
Step #172 Reward:-319.90746116638184 Current Epsilon: 0.5110886056983047
Step #173 Reward:-244.68806171417236 Current Epsilon: 0.5091082185742143
Step #174 Reward:-215.8457202911377 Current Epsilon: 0.5071356582757924
Step #175 Reward:-147.94539546966553 Current Epsilon: 0.5051708938700971
Step #176 Reward:-81.34533077478409 Current Epsilon: 0.5032138945464383
Step #177 Reward:-26.407415383803027 Current Epsilon: 0.5012646296158957
Step #178 Reward:-13.816429088823497 Current Epsilon: 0.49932306851083613
Step #179 Reward:-77.46347028017044 Current Epsilon: 0.4973891807844353
Step #180 Reward:-13.331373643130064 Current Epsilon: 0.4954629361101998
Step #181 Reward:-26.407536519225687 Current Epsilon: 0.4935443042814917
Step #182 Reward:-13.768879946321249 Current Epsilon: 0.4916332552110547
Step #183 Reward:-4.467006966471672 Current Epsilon: 0.48972975893054266
Step #184 Reward:-16.39397430419922 Current Epsilon: 0.4878337855900492
Step #185 Reward:-103.18287658691406 Current Epsilon: 0.48594530545764
Step #186 Reward:-183.69582319259644 Current Epsilon: 0.4840642889188862
Step #187 Reward:-180.10522937774658 Current Epsilon: 0.48219070647640044
Step #188 Reward:-231.71165823936462 Current Epsilon: 0.48032452874937376
Step #189 Reward:-17.176283122738823 Current Epsilon: 0.4784657264731154
Step #190 Reward:-15.563279511174187 Current Epsilon: 0.4766142704985935
Step #191 Reward:-16.3825786113739 Current Epsilon: 0.47477013179197797
Step #192 Reward:-16.368702973239124 Current Epsilon: 0.4729332814341856
Step #193 Reward:-14.069471672177315 Current Epsilon: 0.4711036906204261
Step #194 Reward:-80.95453586895019 Current Epsilon: 0.4692813306597507
Step #195 Reward:-26.40741882987743 Current Epsilon: 0.4674661729746022
Step #196 Reward:-26.40741878932556 Current Epsilon: 0.46565818910036644
Step #197 Reward:-53.695115089416504 Current Epsilon: 0.46385735068492656
Step #198 Reward:-143.44586944580078 Current Epsilon: 0.46206362948821805
Step #199 Reward:-156.90003108978271 Current Epsilon: 0.4602769973817856
step = 200: loss = 0.06658969074487686
Step #200 Reward:-18.69984722137451 Current Epsilon: 0.4584974263483428
Step #201 Reward:-14.755050477853274 Current Epsilon: 0.45672488848133197
Step #202 Reward:-5.354265384376049 Current Epsilon: 0.4549593559844869
Step #203 Reward:-26.407418626129356 Current Epsilon: 0.45320080117139705
Step #204 Reward:-14.456479758024216 Current Epsilon: 0.45144919646507325
Step #205 Reward:-26.407418484195773 Current Epsilon: 0.4497045143975153
Step #206 Reward:-12.602925136685371 Current Epsilon: 0.447966727609281
Step #207 Reward:-13.753688928089105 Current Epsilon: 0.4462358088490575
Step #208 Reward:-14.11980502307415 Current Epsilon: 0.44451173097323377
Step #209 Reward:-73.93619899451733 Current Epsilon: 0.4427944669454748
Step #210 Reward:-14.307502657175064 Current Epsilon: 0.44108398983629776
Step #211 Reward:-13.81695768609643 Current Epsilon: 0.43938027282264985
Step #212 Reward:-26.407420126932948 Current Epsilon: 0.4376832891874874
Step #213 Reward:-26.40746737655718 Current Epsilon: 0.43599301231935705
Step #214 Reward:-15.61526108533144 Current Epsilon: 0.43430941571197856
Step #215 Reward:-83.33227825164795 Current Epsilon: 0.4326324729638287
Step #216 Reward:-26.40742261695732 Current Epsilon: 0.4309621577777277
Step #217 Reward:-21.68142806222022 Current Epsilon: 0.42929844396042677
Step #218 Reward:-71.4240457713604 Current Epsilon: 0.4276413054221973
Step #219 Reward:-13.813464974016824 Current Epsilon: 0.4259907161764215
Step #220 Reward:-74.00729836523533 Current Epsilon: 0.4243466503391852
Step #221 Reward:-74.36134739220142 Current Epsilon: 0.42270908212887204
Step #222 Reward:-15.871020145714283 Current Epsilon: 0.4210779858657587
Step #223 Reward:-14.610572849429445 Current Epsilon: 0.4194533359716127
Step #224 Reward:-3.441486358642578 Current Epsilon: 0.41783510696929077
Step #225 Reward:-26.407472769613378 Current Epsilon: 0.41622327348233995
Step #226 Reward:-26.40742086215255 Current Epsilon: 0.41461781023459926
Step #227 Reward:-73.98108550906181 Current Epsilon: 0.4130186920498033
Step #228 Reward:-12.497958853840828 Current Epsilon: 0.41142589385118744
Step #229 Reward:-14.23488399386406 Current Epsilon: 0.4098393906610949
Step #230 Reward:-14.249913424253464 Current Epsilon: 0.40825915760058484
Step #231 Reward:-16.610379219055176 Current Epsilon: 0.40668516988904196
Step #232 Reward:-13.798960795626044 Current Epsilon: 0.4051174028437884
Step #233 Reward:-14.667664229869843 Current Epsilon: 0.40355583187969635
Step #234 Reward:-69.38820222020149 Current Epsilon: 0.40200043250880246
Step #235 Reward:-8.784564971923828 Current Epsilon: 0.4004511803399242
Step #236 Reward:-68.48755915462971 Current Epsilon: 0.3989080510782769
Step #237 Reward:-13.838959451764822 Current Epsilon: 0.39737102052509327
Step #238 Reward:-13.434295631945133 Current Epsilon: 0.39584006457724336
Step #239 Reward:-82.94847679138184 Current Epsilon: 0.394315159226857
Step #240 Reward:-75.43483746051788 Current Epsilon: 0.3927962805609473
Step #241 Reward:-14.633326898907399 Current Epsilon: 0.3912834047610354
Step #242 Reward:-13.866277266293764 Current Epsilon: 0.3897765081027771
Step #243 Reward:-26.407458491885336 Current Epsilon: 0.38827556695559085
Step #244 Reward:-13.119866678491235 Current Epsilon: 0.38678055778228737
